timestamp,windspeed_north,windspeed_east,variance_north,variance_east
3824938032,0.0,0.0,0.0,0.0
3825138917,0.0,0.0,0.0,0.0
3825346948,0.0,0.0,0.0,0.0
3825547632,0.0,0.0,0.0,0.0
3825747742,0.0,0.0,0.0,0.0
3825956882,0.0,0.0,0.0,0.0
3826160540,0.0,0.0,0.0,0.0
3826364476,0.0,0.0,0.0,0.0
3826565337,0.0,0.0,0.0,0.0
3826769218,0.0,0.0,0.0,0.0
3826970050,0.0,0.0,0.0,0.0
3827174093,0.0,0.0,0.0,0.0
3827374865,0.0,0.0,0.0,0.0
3827574843,0.0,0.0,0.0,0.0
3827778888,0.0,0.0,0.0,0.0
3827979663,0.0,0.0,0.0,0.0
3828179630,0.0,0.0,0.0,0.0
3828384437,0.0,0.0,0.0,0.0
3828584815,0.0,0.0,0.0,0.0
3828784418,0.0,0.0,0.0,0.0
3828985185,0.0,0.0,0.0,0.0
3829189365,0.0,0.0,0.0,0.0
3829390102,0.0,0.0,0.0,0.0
3829590299,0.0,0.0,0.0,0.0
3829790870,0.0,0.0,0.0,0.0
3829994824,0.0,0.0,0.0,0.0
3830195727,0.0,0.0,0.0,0.0
3830395715,0.0,0.0,0.0,0.0
3830599572,0.0,0.0,0.0,0.0
3830800592,0.0,0.0,0.0,0.0
3831000491,0.0,0.0,0.0,0.0
3831205316,0.0,0.0,0.0,0.0
3831409240,0.0,0.0,0.0,0.0
3831610046,0.0,0.0,0.0,0.0
3831810103,0.0,0.0,0.0,0.0
3832014101,0.0,0.0,0.0,0.0
3832214768,0.0,0.0,0.0,0.0
3832414822,0.0,0.0,0.0,0.0
3832615616,0.0,0.0,0.0,0.0
3832819597,0.0,0.0,0.0,0.0
3833020566,0.0,0.0,0.0,0.0
3833220479,0.0,0.0,0.0,0.0
3833420425,0.0,0.0,0.0,0.0
3833625336,0.0,0.0,0.0,0.0
3833825271,0.0,0.0,0.0,0.0
3834030052,0.0,0.0,0.0,0.0
3834234048,0.0,0.0,0.0,0.0
3834434794,0.0,0.0,0.0,0.0
3834638830,0.0,0.0,0.0,0.0
3834838772,0.0,0.0,0.0,0.0
3835039687,0.0,0.0,0.0,0.0
3835239633,0.0,0.0,0.0,0.0
3835440522,0.0,0.0,0.0,0.0
3835640479,0.0,0.0,0.0,0.0
3835841259,0.0,0.0,0.0,0.0
3836041362,0.0,0.0,0.0,0.0
3836241330,0.0,0.0,0.0,0.0
3836446004,0.0,0.0,0.0,0.0
3836650015,0.0,0.0,0.0,0.0
3836850827,0.0,0.0,0.0,0.0
3837054952,0.0,0.0,0.0,0.0
3837254805,0.0,0.0,0.0,0.0
3837456106,0.0,0.0,0.0,0.0
3837659623,0.0,0.0,0.0,0.0
3837860489,0.0,0.0,0.0,0.0
3838060441,0.0,0.0,0.0,0.0
3838261238,0.0,0.0,0.0,0.0
3838465256,0.0,0.0,0.0,0.0
3838669237,0.0,0.0,0.0,0.0
3838870083,0.0,0.0,0.0,0.0
3839070104,0.0,0.0,0.0,0.0
3839270884,0.0,0.0,0.0,0.0
3839470959,0.0,0.0,0.0,0.0
3839675610,0.0,0.0,0.0,0.0
3839879753,0.0,0.0,0.0,0.0
3840079704,0.0,0.0,0.0,0.0
3840284677,0.0,0.0,0.0,0.0
3840488496,0.0,0.0,0.0,0.0
3840689372,0.0,0.0,0.0,0.0
3840889315,0.0,0.0,0.0,0.0
3841090150,0.0,0.0,0.0,0.0
3841294153,0.0,0.0,0.0,0.0
3841494006,0.0,0.0,0.0,0.0
3841698939,0.0,0.0,0.0,0.0
3841903111,0.0,0.0,0.0,0.0
3842103641,0.0,0.0,0.0,0.0
3842307992,0.0,0.0,0.0,0.0
3842508439,0.0,0.0,0.0,0.0
3842708453,0.0,0.0,0.0,0.0
3842912497,0.0,0.0,0.0,0.0
3843113312,0.0,0.0,0.0,0.0
3843313332,0.0,0.0,0.0,0.0
3843513994,0.0,0.0,0.0,0.0
3843718036,0.0,0.0,0.0,0.0
3843918842,0.0,0.0,0.0,0.0
3844118789,0.0,0.0,0.0,0.0
3844318947,0.0,0.0,0.0,0.0
3844523703,0.0,0.0,0.0,0.0
3844727791,0.0,0.0,0.0,0.0
3844928486,0.0,0.0,0.0,0.0
3845132504,0.0,0.0,0.0,0.0
3845332522,0.0,0.0,0.0,0.0
3845533217,0.0,0.0,0.0,0.0
3845733325,0.0,0.0,0.0,0.0
3845938092,0.0,0.0,0.0,0.0
3846138086,0.0,0.0,0.0,0.0
3846338829,0.0,0.0,0.0,0.0
3846547200,0.0,0.0,0.0,0.0
3846750927,0.0,0.0,0.0,0.0
3846955776,0.0,0.0,0.0,0.0
3847159657,0.0,0.0,0.0,0.0
3847360717,0.0,0.0,0.0,0.0
3847564402,0.0,0.0,0.0,0.0
3847765240,0.0,0.0,0.0,0.0
3847969250,0.0,0.0,0.0,0.0
3848169366,0.0,0.0,0.0,0.0
3848370025,0.0,0.0,0.0,0.0
3848570148,0.0,0.0,0.0,0.0
3848770854,0.0,0.0,0.0,0.0
3848974840,0.0,0.0,0.0,0.0
3849175780,0.0,0.0,0.0,0.0
3849379965,0.0,0.0,0.0,0.0
3849580475,0.0,0.0,0.0,0.0
3849788538,0.0,0.0,0.0,0.0
3849988546,0.0,0.0,0.0,0.0
3850189299,0.0,0.0,0.0,0.0
3850397531,0.0,0.0,0.0,0.0
3850598036,0.0,0.0,0.0,0.0
3850806062,0.0,0.0,0.0,0.0
3851009961,0.0,0.0,0.0,0.0
3851211154,0.0,0.0,0.0,0.0
3851418864,0.0,0.0,0.0,0.0
3851619674,0.0,0.0,0.0,0.0
3851827729,0.0,0.0,0.0,0.0
3852028416,0.0,0.0,0.0,0.0
3852228453,0.0,0.0,0.0,0.0
3852429412,0.0,0.0,0.0,0.0
3852633309,0.0,0.0,0.0,0.0
3852833185,0.0,0.0,0.0,0.0
3853034073,0.0,0.0,0.0,0.0
3853237977,0.0,0.0,0.0,0.0
3853438780,0.0,0.0,0.0,0.0
3853638843,0.0,0.0,0.0,0.0
3853839628,0.0,0.0,0.0,0.0
3854039628,0.0,0.0,0.0,0.0
3854243717,0.0,0.0,0.0,0.0
3854444418,0.0,0.0,0.0,0.0
3854648524,0.0,0.0,0.0,0.0
3854853469,0.0,0.0,0.0,0.0
3855053288,0.0,0.0,0.0,0.0
3855257231,0.0,0.0,0.0,0.0
3855458081,0.0,0.0,0.0,0.0
3855658088,0.0,0.0,0.0,0.0
3855858802,0.0,0.0,0.0,0.0
3856062902,0.0,0.0,0.0,0.0
3856263715,0.0,0.0,0.0,0.0
3856467659,0.0,0.0,0.0,0.0
3856671603,0.0,0.0,0.0,0.0
3856876405,0.0,0.0,0.0,0.0
3857076460,0.0,0.0,0.0,0.0
3857285289,0.0,0.0,0.0,0.0
3857485212,0.0,0.0,0.0,0.0
3857689977,0.0,0.0,0.0,0.0
3857893974,0.0,0.0,0.0,0.0
3858094149,0.0,0.0,0.0,0.0
3858294853,0.0,0.0,0.0,0.0
3858498761,0.0,0.0,0.0,0.0
3858699725,0.0,0.0,0.0,0.0
3858899618,0.0,0.0,0.0,0.0
3859104420,0.0,0.0,0.0,0.0
3859304452,0.0,0.0,0.0,0.0
3859508548,0.0,0.0,0.0,0.0
3859709213,0.0,0.0,0.0,0.0
3859913487,0.0,0.0,0.0,0.0
3860114148,0.0,0.0,0.0,0.0
3860318043,0.0,0.0,0.0,0.0
3860518879,0.0,0.0,0.0,0.0
3860718827,0.0,0.0,0.0,0.0
3860918809,0.0,0.0,0.0,0.0
3861119570,0.0,0.0,0.0,0.0
3861320044,0.0,0.0,0.0,0.0
3861520708,0.0,0.0,0.0,0.0
3861720482,0.0,0.0,0.0,0.0
3861925244,0.0,0.0,0.0,0.0
3862129328,0.0,0.0,0.0,0.0
3862329201,0.0,0.0,0.0,0.0
3862534116,0.0,0.0,0.0,0.0
3862734137,0.0,0.0,0.0,0.0
3862934833,0.0,0.0,0.0,0.0
3863134822,0.0,0.0,0.0,0.0
3863338930,0.0,0.0,0.0,0.0
3863539624,0.0,0.0,0.0,0.0
3863739640,0.0,0.0,0.0,0.0
3863944436,0.0,0.0,0.0,0.0
3864144588,0.0,0.0,0.0,0.0
3864345285,0.0,0.0,0.0,0.0
3864545331,0.0,0.0,0.0,0.0
3864749183,0.0,0.0,0.0,0.0
3864954028,0.0,0.0,0.0,0.0
3865154385,0.0,0.0,0.0,0.0
