timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,system_source,priority,warning
3439424420,43.82966,44.668804,39.543015,43.02304,5043.222,0.5873507,1.0369798,12,1,1,0,0
3439929106,44.755253,44.654644,44.393463,42.676155,5049.155,0.58570856,1.0371325,12,1,1,0,0
3440433966,44.973038,44.662643,43.092125,43.185757,5055.2666,0.5938396,1.0363771,12,1,1,0,0
3440926858,44.673584,44.666718,43.358307,43.38711,5061.225,0.6010062,1.0357124,12,1,1,0,0
3441432422,44.864147,44.664185,42.441456,43.539455,5067.3516,0.6078447,1.0350788,12,1,1,0,0
3441937055,45.000263,44.689392,40.48944,41.846302,5073.0596,0.61582,1.0343409,12,1,1,0,0
3442430452,44.428574,44.70501,42.76679,41.18742,5078.6396,0.62049145,1.0339092,12,1,1,0,0
3442934736,45.05471,44.6724,44.748375,41.886616,5084.5796,0.6165921,1.0342695,12,1,1,0,0
3443439615,44.455795,44.665607,38.537434,41.46778,5090.359,0.61377543,1.0345299,12,1,1,0,0
3443932422,44.265232,44.68892,41.347145,42.501286,5096.2275,0.61933357,1.0340161,12,1,1,0,0
3444437064,44.64636,44.65712,46.138447,44.414886,5102.6987,0.6222601,1.0337458,12,1,1,0,0
3444941996,44.89137,44.61175,43.387886,44.291126,5108.9,0.614406,1.0344716,12,1,1,0,0
3445434786,44.02022,44.60728,43.32873,44.157852,5114.9277,0.6145972,1.034454,12,1,1,0,0
3445939592,45.190826,44.72808,34.07147,36.716644,5119.216,0.60284644,1.0355418,12,1,1,0,0
3446444450,44.973038,44.73525,38.714886,36.61926,5124.323,0.5939914,1.036363,12,1,1,0,0
3446937248,44.156338,44.757526,37.76846,37.533085,5129.5444,0.5987698,1.0359198,12,1,1,0,0
3447441971,43.720764,44.703182,40.252834,38.645027,5135.05,0.5886022,1.0368636,12,1,1,0,0
3447947402,44.210785,44.69793,43.506187,41.003605,5141.04,0.59508866,1.0362612,12,1,1,0,0
3448440544,43.93855,44.461185,59.122276,54.438354,5149.862,0.57965124,1.0376958,12,1,1,0,0
3448945264,44.8097,44.398457,51.31423,54.44882,5157.562,0.5752024,1.03811,12,1,1,0,0
3449449910,44.918594,44.39288,47.824276,51.784172,5164.5786,0.56954163,1.0386374,12,1,1,0,0
3449942887,44.782475,44.42635,46.61166,49.510994,5171.1396,0.5710275,1.038499,12,1,1,0,0
3450447600,44.428574,44.438347,46.404625,48.07617,5177.7314,0.5686077,1.0387245,12,1,1,0,0
3450952576,44.156338,44.457104,45.399048,47.259907,5184.2837,0.5698462,1.038609,12,1,1,0,0
3451457323,44.619137,44.490677,45.458202,46.98167,5190.8345,0.57628155,1.0380095,12,1,1,0,0
3451962129,44.89137,44.485703,47.025723,46.85026,5197.3853,0.5751267,1.038117,12,1,1,0,0
3452454700,43.61187,44.4323,47.144024,46.764767,5203.771,0.56204903,1.0393364,12,1,1,0,0
3452960741,44.728027,44.43231,47.587666,47.041176,5210.4116,0.56232834,1.0393103,12,1,1,0,0
3453465271,45.245274,44.46787,39.099377,43.733345,5216.305,0.55515313,1.0399805,12,1,1,0,0
3453957909,44.210785,44.51116,35.07705,42.200726,5221.904,0.5466993,1.0407714,12,1,1,0,0
3454462742,44.755253,44.547295,42.707638,40.05306,5227.2314,0.5366949,1.0417087,12,1,1,0,0
3454967658,44.56469,44.522194,42.411877,45.630302,5234.129,0.5422681,1.0411863,12,1,1,0,0
3455460362,44.40135,44.59453,38.65574,41.580746,5239.3555,0.5576573,1.0397465,12,1,1,0,0
3455965085,44.265232,44.583996,55.69147,42.611675,5245.294,0.5631203,1.0392364,12,1,1,0,0
3456469953,44.537464,44.507374,48.060883,46.121334,5252.288,0.57089907,1.0385109,12,1,1,0,0
3456962759,44.8097,44.49639,42.825943,45.53465,5258.4487,0.573394,1.0382785,12,1,1,0,0
3457467748,44.89137,44.590378,38.98107,39.521687,5263.4453,0.57374406,1.0382458,12,1,1,0,0
3457972448,44.292454,44.52799,45.280743,45.761612,5270.526,0.5698966,1.0386044,12,1,1,0,0
3458465218,44.129116,44.5036,27.505611,44.364956,5276.559,0.5620011,1.0393409,12,1,1,0,0
3458970830,44.619137,44.609097,39.750042,37.94327,5281.105,0.555267,1.0399699,12,1,1,0,0
3459475540,44.782475,44.64235,32.888428,37.293552,5286.2495,0.5462436,1.040814,12,1,1,0,0
3459968419,44.619137,44.65847,37.32482,36.151756,5291.0356,0.5429972,1.041118,12,1,1,0,0
3460473110,44.238007,44.608784,53.946487,40.984295,5297.2188,0.5461496,1.0408229,12,1,1,0,0
