timestamp,flag_armed,flag_external_manual_override_ok,flag_system_hil_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
2841386531,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2841627144,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2841863227,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2842111238,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2842355983,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2842604534,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2842840498,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2843081390,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2843329683,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2843569774,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2843814171,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2844055341,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2844298857,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2844535306,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2844779761,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2845016915,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2845265595,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2845509939,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2845750508,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2845990697,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2846234693,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2846474432,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2846712000,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2846952581,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
